Country Name,Country Code,year,IC.BUS.NREG,GDP,IC.BUS.NDNS,IC.REG.PROC,IC.REG.DURS,GDP_growth
Afghanistan,AFG,2009,3653,12154835707.8987,0.260193932445592,6,9.5,21.3905283931066
Afghanistan,AFG,2010,4759,15633856787.0425,0.329456650593742,5,9.5,14.3624414692681
Afghanistan,AFG,2011,3745,18190410820.6235,0.248972465041474,5,9.5,0.426354784529209
Afghanistan,AFG,2012,3557,20203572959.5023,0.225927940102482,5,9.5,12.7522870887171
Afghanistan,AFG,2013,3191,20564485419.1684,0.193162004507073,4,6.5,5.60074465808154
Afghanistan,AFG,2014,2466,20550582746.8448,0.142361804270184,4,8.5,2.72454336394854
Afghanistan,AFG,2015,2255,19998156214.3988,0.124470105095823,4,8.5,1.45131466009755
Afghanistan,AFG,2016,2448,18019558181.9602,0.13002886502701,4,8.5,2.26031420130452
Afghanistan,AFG,2017,3022,18896352021.94,0.154863500533131,4,8.5,2.64700320195786
Afghanistan,AFG,2018,4274,18418848299.5825,0.211651121897032,4,8.5,1.18922812838034
Albania,ALB,2006,1671,8896072918.9814,0.852207963222968,12,39,5.90265903591924
Albania,ALB,2007,2094,10677324144.4289,1.0688810642666,11,37,5.98325951855567
Albania,ALB,2008,2891,12881353507.8539,1.47872321380619,8,10,7.50004143020151
Albania,ALB,2009,2217,12044208085.864,1.13627860300773,6,6,3.35428934987461
Albania,ALB,2010,2166,11926922828.9911,1.11145491295399,6,6,3.70693815255319
Albania,ALB,2011,1891,12890764531.3284,0.964104812621565,6,6,2.54540614450104
Albania,ALB,2012,1877,12319830437.3467,0.951527361100831,5,5,1.4172427999078
Albania,ALB,2013,2105,12776220507.0162,1.06342133713235,5,5,1.00201754071108
Albania,ALB,2014,2271,13228147516.1168,1.14587185913294,5,5,1.77444885260394
Albania,ALB,2015,2610,11386850129.8411,1.31872862434373,5,5,2.21872637517804
Albania,ALB,2016,2721,11861199830.8396,1.37790710039934,5,5,3.31498068384137
Albania,ALB,2017,3014,13019689336.6919,1.52807521334242,5,5,3.80222740040676
Albania,ALB,2018,3259,15156432309.8977,1.6578247650228,5,4.5,4.01935968514439
Albania,ALB,2019,3189,15401830754.0773,1.63353829825162,5,4.5,2.08806337615015
United Arab Emirates,ARE,2006,7698,222116541865.214,1.75718722215818,10,19.3,9.83731977348489
United Arab Emirates,ARE,2007,8778,257916133424.098,1.69271626773997,9,18.3,3.1843901736724
United Arab Emirates,ARE,2008,9084,315474615738.598,1.50727404080525,9,18.2,3.19183627610384
United Arab Emirates,ARE,2009,6963,253547358747.447,1.02681607678691,8,15.2,-5.2429219066759
United Arab Emirates,ARE,2010,8623,289787452661.675,1.17056676852846,8,15.2,1.60285004831249
United Arab Emirates,ARE,2011,9644,350666058379.85,1.25583251121707,7,13.2,6.92850859456968
United Arab Emirates,ARE,2012,11380,384610125384.033,1.45401263406654,6,8.2,4.77662573667088
United Arab Emirates,ARE,2013,12784,400218529747.597,1.62730222085256,6,8.3,5.05555965425988
United Arab Emirates,ARE,2014,15661,414105366758.911,1.99567732799182,6,8.3,4.16569184256178
United Arab Emirates,ARE,2015,16625,370275469560.166,2.11394231741229,6,8.3,6.78677287945216
United Arab Emirates,ARE,2016,16735,369255326235.771,2.1124825311517,4,8.3,5.56149075496799
United Arab Emirates,ARE,2017,16285,390516804016.501,2.03232754855247,4,8.3,0.735068713165646
United Arab Emirates,ARE,2018,17907,427049432149.345,2.20529257903715,2,3.8,1.31391388141118
United Arab Emirates,ARE,2019,22593,417989721734.494,2.74853178670381,2,3.8,1.10834813893099
Argentina,ARG,2006,5956,232557260817.308,0.24065042200896,13,29.5,8.04715150043027
Argentina,ARG,2007,6031,287530508430.568,0.240466707163105,13,29.5,9.00765087504757
Argentina,ARG,2008,6032,361558037110.419,0.237290155861317,14,30,4.05723310346406
Argentina,ARG,2009,4885,332976484577.619,0.189666834383658,14,25,-5.91852507634947
